Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,..,..,..,..,..,..,18.83451,19.12544,16.84739,..,..,16.98156,12.17251,11.45649,7.32501,4.39804,6.52197,..,4.99226,..,..,4.77724,..,2.80651,1.47129,..,4.07113,4.2767,5.09321,5.04055,5.90423,7.55238,8.22183,8.09975,9.18641,7.69033,..,..,..,..,8.69345,10.04798,8.81479,6.03206,3.60336,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.30445,6.63614,6.63234,4.04358,3.38711,4.14306,2.66284,2.70706,2.04203,1.84864,1.96674,5.45001,5.08374,4.33267,3.88119,3.31791,2.98905,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.19725,..,..
Iran (Islamic Republic of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.41101,12.54482,10.28748,7.60465,8.71689,8.15307,11.86237,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.53974,33.31757,..,..,26.74446,25.28936,..,..,21.97714,..,..,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0392,1.96233,1.34997,1.48008,1.30196,1.7218,1.6887,2.08868,1.80899,1.9969,2.22307,1.95104,2.12267,1.76789,2.0456,2.04956,1.6577,..
Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.23363,9.79188,..,7.51686,7.04838,7.09403,7.8532,6.13636,..,8.02645,..,..,12.24192,..,14.01428,..,..,..
Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.74835,..,..,6.40585,6.2138,7.49751,..,..,..,..,..,6.93817,8.68003,..,9.81927,9.70699,9.96906,9.97003,9.03584,..,..
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.51874,16.47374,15.97763,14.89894,15.53802,15.64698,20.12411,..,..,..,..
Oman,..,..,..,..,..,..,..,..,..,..,..,64.47869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.96889,18.44617,16.46131,16.17525,17.41713,..,..,..,..,..,7.69509,..,3.9842,4.51761,6.71041,..,3.72715,..
Palestine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.39009,17.65114,17.59339,16.42875,15.37071,14.3228,13.73411,13.49273,13.73295,13.10614,13.53386,14.32655,15.24379,14.44705,14.78956,14.72008,14.31651,..
Qatar,30.72663,27.35846,26.28427,26.68869,..,18.42597,18.0512,16.69368,14.64289,13.73795,12.41107,..,12.28319,16.00141,11.69772,9.83887,15.8523,16.49464,..,17.35376,19.73479,22.08968,20.69685,17.34181,..,..,..,10.91885,10.28744,..,..,10.17054,..,8.38222,4.33107,..,11.61119,..,10.60422,6.4895,..,..,..,15.0227,10.55783,..
Saudi Arabia,..,..,..,..,..,..,..,..,60.74157,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.81248,..,..,..,6.20323,5.64648,..,..
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.40149,28.88202,28.59055,27.18539,27.22591,25.11759,22.87567,20.08111,21.27631,19.87517,19.41769,19.0747,18.5898,17.39478,15.81908,43.07247,..,..,..
Turkey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.77217,19.8096,17.21944,16.73112,15.22574,14.03412,12.86622,11.69286,10.80402,10.96541,13.25972,10.32225,8.66069,11.0502,8.98196,8.67311,..,..
United Arab Emirates,..,..,..,..,..,..,..,36.22369,..,32.83141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.71587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yemen,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.82581,..,..,..,..,..,..,..,..,..,..,34.54266,..,31.06062,..,..,..,..
